#Parameters = {a_mcp_space=3.85; anode=600; anode_pot=0; anode_thickness=20; back=1; cathode=-200; coax_core=17; coax_length=320; cut_off_set=-10; e_thickness=0.04; elecrode_thickness=1; end_spoil_size=10; insulator_core=57; max_frequency_range=25; mcp_angle=-10; mcp_mid_pot=-2201; mcp_spacing=7.7; mirror=200; number_of_pores=1; o_mcp_space=6.6683956091402; off_set=5; open_area_ratio=0.35241977864696; pix_block=360; pore_gap=8; pore_radius=2.4; pore_size=200; res_block=150; res_length_n=195; res_length_p=6; small_number=0.0008; spoil_thickness=0.5; square_block=237.7; time_step=0.001}
#"Position x"	"pic 2d monitor 2 convert to 1D [Real Part]"
#---------------------------------------------------------
-215.43078764807	37.380643334473
-198.85835354216	-39.810332964407
-234.53115136363	-51.306338718860
-184.48407354299	-38.063728425186
-232.39759320859	-35.330991522642
-209.38341913279	-51.215385610703
-192.13435007259	-36.106092011323
-237.95739980415	1.1540723789949
-163.89065422118	-18.327622456127
-240.04152510315	-30.237142709666
-168.08978398331	-47.919256758178
-242.26818641182	-1.3770223858955
-251.36303156614	-20.506591681624
-180.77141430695	-46.932964323787
-220.12661793269	-37.845256883884
-252.66990996897	-22.110451027402
-264.27974808030	6.4885102801782
-219.08046619501	-28.889440727653
-258.46046628431	-9.8367672762834
-233.32936689258	-19.480045011733
-200.47737052664	-33.653897844488
-208.15704192501	0.70641272031935
-260.82748081535	-6.7385003603704
-257.74564710446	3.0429314392677
-229.69039855525	-43.846132030012
-189.88350348081	-72.050490416586
-141.32083742879	-11.381871445337
-137.94504047837	-29.220102078398
-208.02154904231	-16.587573554716
-249.00530115701	-0.11206728345314
-210.44112509116	-39.552382077090
-108.73821156565	-62.896229792386
-14.733037460246	42.670813854784
-203.74625455588	-42.747775296448
-220.76754248701	30.408518796321
-178.13112935983	-57.063578424277
-232.26400662679	23.548725948785
-223.54919929057	14.138866390567
-203.79561465234	13.864736502001
-211.62797929719	-23.603226509295
-244.94482204318	-32.964057027129
-178.38842177298	-88.141590822488
-233.82197832689	-9.8067166618421
-241.77951854654	-3.6943085888197
-202.01008010190	-41.480197978672
-249.85865456983	3.9143633330241
-202.59927259758	-67.522822064348
-208.81282398477	-43.914242269238
-114.24007971073	18.825649021892
-200.51271712873	-34.441240131855
-235.16183136962	2.0197855974402
-140.85609291214	-60.980692069279
-177.31785192154	-87.851469288580
-158.51030184422	18.882665244746
-182.96118651051	-34.406915801810
-167.24955639802	-15.342373444582
-258.62915208563	8.6703375927755
-245.00148720108	-42.946059693349
-164.08602823503	41.117757064057
-206.79569570348	27.929001589655
-184.37139806338	-21.188654500293
-266.45578327589	-41.817467717919
-191.79435912520	-40.186580008594
-153.47264707088	-38.517522625625
-226.00848751608	-32.791725971038
-221.09002748039	1.6341293758160
-261.71802892350	-14.931306395738
-255.28125115670	4.0676331991563
-254.32251277380	-37.032714317320
-263.65552912466	-19.464565411909
